name,rating,instructions,type,muscle,equipment,level
Chest dip,9.2,"{""For this exercise you will need access to parallel bars. To get yourself into the starting position, hold your body at arms length (arms locked) above the bars."",""While breathing in, lower yourself slowly with your torso leaning forward around 30 degrees or so and your elbows flared out slightly until you feel a slight stretch in the chest."",""Once you feel the stretch, use your chest to bring your body back to the starting position as you breathe out. Tip: Remember to squeeze the chest at the top of the movement for a second."",""Repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Other,Intermediate
Decline Dumbbell Flyes,9.2,"{""Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other."",""Once you are laying down, move the dumbbells in front of you at shoulder width. The palms of the hands should be facing each other and the arms should be perpendicular to the floor and fully extended. This will be your starting position."",""With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint."",""Return your arms back to the starting position as you squeeze your chest muscles and breathe out. Tip: Make sure to use the same arc of motion used to lower the weights."",""Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Dumbbell,Intermediate
Bodyweight Flyes,9.1,"{""Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll."",""Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight."",""Place your hands on the bars. This will be your starting position."",""Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion."",""After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement.""}",Strength,Chest,E-Z Curl Bar,Beginner
Incline cable chest fly,9.1,"{""To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso)."",""Place an incline bench (set at 45 degrees) in between the pulleys, select a weight on each one and grab a pulley on each hand."",""With a handle on each hand, lie on the incline bench and bring your hands together at arms length in front of your face. This will be your starting position."",""With a slight bend of your elbows (in order to prevent stress at the biceps tendon), lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary. The movement should only occur at the shoulder joint."",""Return your arms back to the starting position as you squeeze your chest muscles and exhale. Hold the contracted position for a second. Tip: Make sure to use the same arc of motion used to lower the weights."",""Repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Cable,Intermediate
Decline barbell bench press,9.1,"{""Secure your legs at the end of the decline bench and slowly lay down on the bench."",""Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. The arms should be perpendicular to the floor. This will be your starting position. Tip: In order to protect your rotator cuff, it is best if you have a spotter help you lift the barbell off the rack."",""As you breathe in, come down slowly until you feel the bar on your lower chest."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up)."",""Repeat the movement for the prescribed amount of repetitions."",""When you are done, place the bar back in the rack.""}",Strength,Chest,Barbell,Intermediate
Wide-grip bench press,9.1,"{""Lie back on a flat bench with feet firm on the floor. Using a wide, pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand), lift the bar from the rack and hold it straight over you with your arms locked. The bar will be perpendicular to the torso and the floor. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your middle chest."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Barbell,Beginner
Wide-Grip Decline Barbell Bench Press,9,"{""Lie back on a decline bench with the feet securely locked at the front of the bench. Using a wide, pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand), lift the bar from the rack and hold it straight over you with your arms locked. The bar will be perpendicular to the torso and the floor. This will be your starting position."",""As you breathe in, come down slowly until you feel the bar on your lower chest."",""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up."",""Repeat the movement for the prescribed amount of repetitions.""}",Strength,Chest,Barbell,Beginner
Reverse-grip incline dumbbell bench press,9,"{""Lay on an incline bench holding a dumbbell in each hand. Begin with your arms extended above your torso with a supinated grip."",""Your back should be arched, feet driving through the ground, and lats tight. This will be your starting position."",""Lower the weights to your chest by flexing the elbows."",""After a brief pause, return the weights to the starting position by extending the elbows""}",Strength,Chest,Dumbbell,Beginner
Decline Push-Up,9,"{""Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Move your feet up to a box or bench. This will be your starting position."",""Next, lower yourself downward until your chest almost touches the floor as you inhale."",""Now breathe out and press your upper body back up to the starting position while squeezing your chest."",""After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.""}",Strength,Chest,Body Only,Intermediate
Dumbbell Bench Press,9,"{""Lie down on a flat bench with a dumbbell in each hand resting on top of your thighs. The palms of your hands will be facing each other."",""Then, using your thighs to help raise the dumbbells up, lift the dumbbells one at a time so that you can hold them in front of you at shoulder width."",""Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. The dumbbells should be just to the sides of your chest, with your upper arm and forearm creating a 90 degree angle. Be sure to maintain full control of the dumbbells at all times. This will be your starting position."",""Then, as you breathe out, use your chest to push the dumbbells up. Lock your arms at the top of the lift and squeeze your chest, hold for a second and then begin coming down slowly. Tip: Ideally, lowering the weight should take about twice as long as raising it."",""Repeat the movement for the prescribed amount of repetitions of your training program.""}",Strength,Chest,Dumbbell,Intermediate
